Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Mike Bantom,30.0,2TM,SF,82.0,38.0,24.6,4.1,8.7,47.12643678160919,0.0,0.1,0.0,4.0,8.6,46.51162790697674,47.12643678160919,2.0,3.3,60.60606060606061,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,No Awards,1981-82
Phil Hubbard,25.0,2TM,SF,83.0,40.0,22.2,3.9,8.0,48.75,0.0,0.0,0.0,3.9,8.0,48.75,48.75,2.3,3.4,67.6470588235294,2.3,3.4,5.7,1.1,0.8,0.2,1.9,3.5,10.2,No Awards,1981-82
Phil Hubbard,25.0,DET,SF,52.0,38.0,21.2,4.0,7.9,50.632911392405056,0.0,0.1,0.0,4.0,7.8,51.28205128205129,50.632911392405056,2.0,3.1,64.51612903225806,1.9,3.3,5.2,1.3,0.7,0.3,1.9,3.4,10.0,No Awards,1981-82
Gerald Henderson,26.0,BOS,PG,82.0,31.0,22.5,4.3,8.6,50.0,0.0,0.1,0.0,4.3,8.5,50.588235294117645,50.0,1.5,2.1,71.42857142857143,0.6,1.3,1.9,3.1,1.0,0.1,1.8,2.4,10.2,No Awards,1981-82
Dave Corzine,25.0,SAS,C,82.0,21.0,26.7,4.1,7.9,51.898734177215175,0.0,0.0,0.0,4.1,7.9,51.898734177215175,51.898734177215175,1.9,2.6,73.07692307692307,2.6,5.1,7.7,1.6,0.4,1.5,1.7,2.9,10.1,No Awards,1981-82
Jim Spanarkel,24.0,DAL,SG,82.0,1.0,21.4,3.3,6.9,47.826086956521735,0.1,0.3,33.333333333333336,3.2,6.6,48.48484848484849,48.55072463768116,3.4,4.0,85.0,1.2,1.4,2.6,2.5,1.0,0.1,1.4,1.7,10.1,No Awards,1981-82
Don Collins,23.0,WSB,SG,79.0,18.0,20.4,4.2,8.3,50.602409638554214,0.0,0.2,0.0,4.2,8.1,51.85185185185186,50.602409638554214,1.5,2.1,71.42857142857143,1.3,1.2,2.5,1.9,1.1,0.3,1.7,2.5,10.0,No Awards,1981-82
Dwight Jones,29.0,CHI,PF,78.0,18.0,26.2,3.9,7.3,53.42465753424658,0.0,0.0,0.0,3.9,7.3,53.42465753424658,53.42465753424658,2.2,3.1,70.96774193548387,2.0,4.5,6.5,1.5,0.6,0.5,2.0,2.8,10.0,No Awards,1981-82
Randy Smith,33.0,NYK,SG,82.0,40.0,24.8,4.2,9.1,46.15384615384615,0.0,0.1,0.0,4.2,9.0,46.666666666666664,46.15384615384615,1.5,1.8,83.33333333333333,0.6,1.2,1.9,3.1,1.1,0.0,1.5,2.4,10.0,No Awards,1981-82
Tom McMillen,29.0,ATL,C,73.0,23.0,24.5,4.0,7.8,51.28205128205129,0.0,0.0,0.0,4.0,7.8,51.28205128205129,51.28205128205129,1.9,2.3,82.6086956521739,1.4,3.2,4.6,1.8,0.3,0.3,1.7,2.8,9.9,No Awards,1981-82
Terry Tyler,25.0,DET,PF,82.0,0.0,24.3,4.1,7.8,52.56410256410257,0.0,0.0,0.0,4.1,7.8,52.56410256410257,52.56410256410257,1.7,2.3,73.91304347826087,1.9,4.1,6.0,1.5,0.9,2.0,1.5,2.2,9.9,No Awards,1981-82
Gene Banks,22.0,SAS,SF,80.0,4.0,21.3,3.9,8.2,47.5609756097561,0.0,0.1,0.0,3.9,8.1,48.14814814814815,47.5609756097561,1.8,2.7,66.66666666666666,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6,No Awards,1981-82
Eddie Johnson,22.0,KCK,SF,74.0,27.0,20.5,4.0,8.7,45.97701149425288,0.0,0.1,0.0,4.0,8.5,47.05882352941176,45.97701149425288,1.3,2.0,65.0,1.7,2.6,4.4,1.5,0.7,0.2,1.3,2.8,9.3,No Awards,1981-82
Bill Laimbeer,24.0,2TM,C,80.0,34.0,22.9,3.3,6.7,49.25373134328358,0.1,0.2,50.0,3.3,6.5,50.76923076923077,49.99999999999999,2.3,2.9,79.31034482758619,2.9,4.8,7.7,1.3,0.5,0.8,1.5,3.7,9.0,No Awards,1981-82
Wayne Cooper,25.0,DAL,C,76.0,38.0,23.9,3.7,8.8,42.04545454545454,0.0,0.1,0.0,3.7,8.7,42.52873563218391,42.04545454545454,1.6,2.1,76.19047619047619,2.6,4.6,7.2,1.5,0.5,1.4,1.2,3.8,9.0,No Awards,1981-82
Glen Gondrezick,26.0,DEN,SF,80.0,0.0,21.2,3.1,6.2,50.0,0.0,0.0,0.0,3.1,6.2,50.0,50.0,2.0,2.7,74.07407407407408,1.8,3.5,5.3,1.9,1.2,0.5,1.3,2.9,8.3,No Awards,1981-82
M.L. Carr,31.0,BOS,SF,56.0,27.0,23.1,3.3,7.3,45.20547945205479,0.1,0.3,33.333333333333336,3.2,7.0,45.714285714285715,45.890410958904106,1.5,2.1,71.42857142857143,1.0,1.7,2.7,2.3,1.2,0.4,1.1,2.4,8.1,No Awards,1981-82
James Donaldson,24.0,SEA,C,82.0,1.0,20.9,3.1,5.1,60.7843137254902,0.0,0.0,0.0,3.1,5.1,60.7843137254902,60.7843137254902,1.8,2.9,62.06896551724138,1.7,4.3,6.0,0.6,0.3,1.7,1.4,2.3,8.1,No Awards,1981-82
Rich Kelley,28.0,PHO,C,81.0,39.0,23.4,2.9,6.2,46.774193548387096,0.0,0.0,0.0,2.9,6.2,46.774193548387096,46.774193548387096,2.1,2.8,75.00000000000001,2.1,4.1,6.1,3.6,0.8,0.9,3.0,3.6,7.9,No Awards,1981-82
Mike Bratz,26.0,SAS,PG,81.0,3.0,20.0,2.8,7.0,40.0,0.6,1.7,35.294117647058826,2.3,5.3,43.39622641509433,44.28571428571428,1.5,1.9,78.94736842105263,0.5,1.6,2.0,5.4,0.8,0.1,1.7,2.3,7.7,No Awards,1981-82
Bob Gross,28.0,POR,SF,59.0,24.0,23.3,2.9,5.5,52.72727272727272,0.1,0.1,100.0,2.9,5.4,53.703703703703695,53.636363636363626,1.3,1.8,72.22222222222221,1.7,2.7,4.4,2.1,1.3,0.7,1.5,2.7,7.2,No Awards,1981-82
Mike Harper,24.0,POR,PF,68.0,38.0,21.1,2.7,5.4,50.0,0.0,0.0,0.0,2.7,5.4,50.0,50.0,1.4,2.3,60.86956521739131,1.9,3.1,5.0,0.8,0.8,1.2,1.4,3.4,6.8,No Awards,1981-82
Tom Henderson,30.0,HOU,SG,75.0,23.0,22.9,2.4,5.4,44.44444444444444,0.0,0.0,0.0,2.4,5.3,45.28301886792453,44.44444444444444,1.4,2.0,70.0,0.4,1.4,1.8,4.1,0.7,0.1,1.4,1.6,6.3,No Awards,1981-82
Marvin Webster,29.0,NYK,C,82.0,32.0,23.0,2.4,4.9,48.979591836734684,0.0,0.0,0.0,2.4,4.9,48.979591836734684,48.979591836734684,1.3,2.1,61.904761904761905,2.2,3.7,6.0,1.2,0.3,1.1,1.1,2.6,6.2,No Awards,1981-82
Tree Rollins,26.0,ATL,C,79.0,39.0,25.5,2.6,4.4,59.09090909090908,0.0,0.0,0.0,2.6,4.4,59.09090909090908,59.09090909090908,1.0,1.6,62.5,2.1,5.6,7.7,0.7,0.4,2.8,1.0,3.6,6.1,No Awards,1981-82
Alvin Scott,26.0,PHO,SF,81.0,38.0,21.5,2.3,4.7,48.93617021276595,0.0,0.0,0.0,2.3,4.7,48.93617021276595,48.93617021276595,1.3,1.8,72.22222222222221,1.2,2.4,3.6,1.8,0.7,0.9,1.2,2.1,6.0,No Awards,1981-82
James Hardy,25.0,UTA,SF,82.0,17.0,22.1,2.2,4.5,48.88888888888889,0.0,0.0,0.0,2.2,4.5,48.88888888888889,48.88888888888889,0.8,1.1,72.72727272727273,1.9,3.9,5.7,1.3,0.7,0.8,1.0,2.3,5.1,No Awards,1981-82
Harvey Catchings,30.0,MIL,PF,80.0,9.0,20.0,1.2,2.8,42.85714285714286,0.0,0.0,0.0,1.2,2.8,42.85714285714286,42.85714285714286,0.5,0.9,55.55555555555556,1.6,2.8,4.5,1.2,0.5,1.7,1.2,3.0,2.9,No Awards,1981-82
Mike Woodson,24.0,KCK,SG,81.0,3.0,30.0,7.2,14.2,50.70422535211267,0.1,0.4,25.0,7.1,13.8,51.449275362318836,51.056338028169016,3.7,4.7,78.72340425531915,1.0,2.0,3.1,3.1,1.7,0.7,2.1,2.5,18.2,No Awards,1982-83
Orlando Woolridge,23.0,CHI,SF,57.0,38.0,28.5,6.3,10.9,57.798165137614674,0.0,0.1,0.0,6.3,10.9,57.798165137614674,57.798165137614674,3.8,6.0,63.33333333333333,2.1,3.1,5.2,1.7,0.7,0.8,2.8,3.1,16.5,No Awards,1982-83
Quintin Dailey,22.0,CHI,SG,76.0,32.0,27.4,6.2,13.3,46.616541353383454,0.1,0.3,33.333333333333336,6.1,12.9,47.28682170542635,46.99248120300752,2.7,3.7,72.97297297297297,1.1,2.3,3.4,3.7,0.9,0.1,2.7,3.3,15.1,No Awards,1982-83
Junior Bridgeman,29.0,MIL,SF,70.0,5.0,26.5,6.0,12.2,49.180327868852466,0.0,0.2,0.0,6.0,12.0,50.0,49.180327868852466,2.3,2.8,82.14285714285714,0.6,2.9,3.5,3.0,0.6,0.1,1.7,2.2,14.4,No Awards,1982-83
Mickey Johnson,30.0,3TM,PF,78.0,16.0,26.3,5.0,11.8,42.3728813559322,0.0,0.5,0.0,5.0,11.3,44.24778761061947,42.3728813559322,4.0,4.9,81.63265306122447,2.1,4.2,6.3,3.3,1.1,0.6,3.1,3.7,14.1,No Awards,1982-83
Kevin McHale,25.0,BOS,PF,82.0,13.0,28.6,5.9,10.9,54.12844036697248,0.0,0.0,0.0,5.9,10.9,54.12844036697248,54.12844036697248,2.4,3.3,72.72727272727273,2.6,4.1,6.7,1.3,0.4,2.3,1.9,2.9,14.1,No Awards,1982-83
James Worthy,21.0,LAL,SF,77.0,1.0,25.6,5.8,10.0,57.99999999999999,0.0,0.1,0.0,5.8,10.0,57.99999999999999,57.99999999999999,1.8,2.9,62.06896551724138,2.0,3.1,5.2,1.7,1.2,0.8,2.3,2.9,13.4,ROY-3,1982-83
James Bailey,25.0,2TM,PF,75.0,39.0,23.5,5.1,10.3,49.51456310679611,0.0,0.0,0.0,5.1,10.3,49.51456310679611,49.51456310679611,3.0,4.3,69.76744186046511,2.3,4.0,6.3,0.9,0.6,0.8,2.6,3.6,13.3,No Awards,1982-83
James Bailey,25.0,HOU,PF,69.0,39.0,24.9,5.4,11.0,49.09090909090909,0.0,0.0,0.0,5.4,10.9,49.54128440366973,49.09090909090909,3.2,4.6,69.56521739130436,2.4,4.3,6.8,0.9,0.6,0.9,2.8,3.7,14.1,No Awards,1982-83
