Player,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TS%,EFF,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,SMOY_Candidate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,SMOY_Eligible
Jayson Williams,27.0,NJN,80.0,6.0,23.2,3.5,8.3,42.16867469879518,0.0,0.1,0.0,3.5,8.2,42.6829268292683,42.16867469879518,2.0,3.4,58.82352941176471,45.93711719069008,16.499999999999996,4.3,5.8,10.0,0.6,0.4,0.7,1.3,3.0,9.0,6MOY-3,1995-96,1,0,1,0,0,0,1
Chris Gatling,29.0,2TM,47.0,1.0,27.3,7.0,13.3,52.63157894736842,0.0,0.1,0.0,6.9,13.1,52.67175572519084,52.63157894736842,5.0,7.0,71.42857142857143,57.99755799755799,38.51063829787233,2.9,5.0,7.9,0.6,0.8,0.7,2.6,2.9,19.0,"6MOY-3,AS",1996-97,1,0,1,0,0,0,0
John Starks,31.0,NYK,77.0,1.0,26.5,4.8,11.1,43.24324324324324,1.9,5.3,35.84905660377358,2.8,5.8,48.27586206896552,51.80180180180181,2.2,2.9,75.86206896551725,55.75307045895281,14.935064935064938,0.5,2.2,2.7,2.8,1.2,0.1,2.1,2.5,13.8,6MOY-1,1996-97,1,0,0,0,0,1,1
Toni Kukoč,28.0,CHI,57.0,15.0,28.2,5.0,10.6,47.16981132075472,0.9,2.6,34.61538461538461,4.1,8.0,51.24999999999999,51.41509433962265,2.4,3.1,77.41935483870968,55.1654964894684,28.07017543859649,1.6,2.9,4.6,4.5,1.1,0.5,1.6,1.7,13.2,6MOY-2,1996-97,1,0,0,0,1,0,1
Kobe Bryant,19.0,LAL,79.0,1.0,26.0,4.9,11.6,42.24137931034483,0.9,2.8,32.142857142857146,4.0,8.8,45.45454545454545,46.12068965517242,4.6,5.8,79.31034482758619,54.40927077444885,15.822784810126585,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4,"6MOY-2,AS",1997-98,1,0,0,0,1,0,1
Danny Manning,31.0,PHO,70.0,11.0,25.6,5.6,10.8,51.85185185185185,0.0,0.1,0.0,5.6,10.7,52.33644859813084,51.85185185185185,2.4,3.2,74.99999999999999,55.29161205766711,22.0,1.6,4.0,5.6,2.0,1.0,0.7,1.4,2.9,13.5,6MOY-1,1997-98,1,0,1,0,0,0,1
Dale Ellis,37.0,SEA,79.0,0.0,24.5,4.4,8.9,49.438202247191015,1.6,3.5,45.71428571428572,2.8,5.4,51.85185185185185,58.42696629213483,1.4,1.8,77.77777777777777,60.87494841106067,13.037974683544304,0.6,1.7,2.3,1.1,0.8,0.1,0.9,1.6,11.8,6MOY-3,1997-98,1,0,0,0,1,0,1
Darrell Armstrong,30.0,ORL,50.0,15.0,30.0,4.6,10.4,44.230769230769226,1.4,3.8,36.84210526315789,3.2,6.7,47.76119402985074,50.96153846153846,3.2,3.6,88.8888888888889,57.57676902536716,34.00000000000001,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8,"MVP-15,MIP-1,6MOY-1",1998-99,1,0,0,1,0,0,1
Rasheed Wallace,24.0,POR,49.0,18.0,28.9,4.9,9.7,50.515463917525786,0.3,0.6,50.0,4.7,9.1,51.64835164835166,52.06185567010311,2.7,3.7,72.97297297297297,56.49717514124294,27.75510204081633,1.2,3.8,4.9,1.2,1.0,1.1,1.6,3.6,12.8,"MVP-16,6MOY-2",1998-99,1,0,1,0,0,0,0
Jalen Rose,26.0,IND,49.0,1.0,25.3,4.1,10.1,40.59405940594059,0.3,1.3,23.07692307692308,3.7,8.8,42.04545454545454,42.079207920792086,2.6,3.2,81.25,48.22732012513035,18.97959183673469,0.7,2.4,3.1,1.9,1.0,0.3,1.5,2.6,11.1,6MOY-3,1998-99,1,0,0,0,1,0,0
Antonio Davis,30.0,IND,49.0,1.0,25.9,3.3,7.1,46.478873239436616,0.0,0.0,0.0,3.3,7.1,46.478873239436616,46.478873239436616,2.8,3.9,71.7948717948718,53.31215970961888,25.510204081632644,2.4,4.7,7.0,0.7,0.4,0.9,1.0,2.8,9.4,6MOY-3,1998-99,1,0,1,0,0,0,0
Cedric Ceballos,30.0,DAL,69.0,25.0,29.9,6.5,14.5,44.82758620689656,0.6,1.9,31.57894736842105,5.8,12.6,46.03174603174603,46.89655172413793,3.0,3.6,83.33333333333333,51.60407858741607,22.17391304347826,2.5,4.2,6.7,1.3,0.8,0.3,1.8,2.4,16.6,6MOY-3,1999-00,1,0,0,0,1,0,1
Cuttino Mobley,24.0,HOU,81.0,8.0,30.8,5.4,12.5,43.2,1.3,3.6,36.11111111111111,4.1,8.9,46.06741573033708,48.400000000000006,3.7,4.4,84.09090909090908,54.72430036021058,16.543209876543216,0.7,2.8,3.6,2.6,1.1,0.4,2.3,2.1,15.8,6MOY-2,1999-00,1,0,0,0,0,1,1
Tracy McGrady,20.0,TOR,79.0,34.0,31.2,5.8,12.9,44.96124031007752,0.2,0.8,25.0,5.6,12.1,46.28099173553719,45.73643410852712,3.5,5.0,70.0,50.9933774834437,22.0253164556962,2.4,4.0,6.3,3.3,1.1,1.9,2.0,2.5,15.4,6MOY-3,1999-00,1,0,0,0,1,0,1
Rodney Rogers,28.0,PHO,82.0,7.0,27.9,5.2,10.7,48.5981308411215,1.4,3.2,43.74999999999999,3.8,7.5,50.66666666666666,55.14018691588786,1.9,3.0,63.33333333333333,57.40432612312812,17.682926829268297,1.7,3.8,5.5,2.1,1.1,0.6,2.0,3.5,13.8,6MOY-1,1999-00,1,0,1,0,0,0,1
Tim Thomas,23.0,MIL,76.0,16.0,27.4,4.3,10.0,43.0,1.4,3.4,41.17647058823529,2.9,6.6,43.93939393939394,50.0,2.6,3.3,78.7878787878788,55.012224938875306,16.05263157894737,1.0,3.1,4.1,1.8,1.0,0.6,1.5,2.6,12.6,6MOY-2,2000-01,1,0,1,0,0,0,1
Tony Delk,27.0,PHO,82.0,11.0,27.9,4.7,11.3,41.5929203539823,0.7,2.0,35.0,4.0,9.2,43.47826086956522,44.690265486725664,2.3,2.9,79.31034482758619,48.9026717557252,12.4390243902439,0.9,2.3,3.2,2.0,0.9,0.2,1.2,2.1,12.3,6MOY-10,2000-01,1,0,0,0,0,1,1
Aaron McKie,28.0,PHI,76.0,33.0,31.5,4.4,9.4,46.80851063829788,0.7,2.2,31.818181818181813,3.8,7.2,52.77777777777778,50.53191489361703,2.0,2.6,76.92307692307692,55.00758725341426,18.289473684210524,0.4,3.7,4.1,5.0,1.4,0.1,2.7,2.3,11.6,6MOY-1,2000-01,1,0,0,0,0,1,1
Austin Croshere,25.0,IND,81.0,23.0,23.1,3.4,8.7,39.08045977011494,0.9,2.6,34.61538461538461,2.5,6.1,40.98360655737705,44.2528735632184,2.5,2.9,86.20689655172414,50.6214915797915,11.851851851851851,1.5,3.3,4.8,1.1,0.4,0.6,1.7,2.2,10.1,6MOY-10,2000-01,1,0,1,0,0,0,1
LaPhonso Ellis,30.0,MIN,82.0,5.0,23.8,3.6,7.8,46.15384615384615,0.1,0.3,33.333333333333336,3.5,7.6,46.05263157894737,46.7948717948718,2.1,2.6,80.76923076923077,52.54919499105546,14.878048780487804,2.4,3.6,6.0,1.1,0.8,0.9,1.3,3.5,9.4,6MOY-3,2000-01,1,0,1,0,0,0,1
Corliss Williamson,28.0,DET,78.0,7.0,21.8,5.3,10.3,51.45631067961165,0.0,0.1,0.0,5.3,10.3,51.45631067961165,51.45631067961165,3.1,3.8,81.57894736842107,56.79919812896759,15.769230769230772,1.5,2.6,4.1,1.2,0.6,0.3,1.8,2.9,13.6,6MOY-1,2001-02,1,0,0,0,1,0,1
Quentin Richardson,21.0,LAC,81.0,0.0,26.6,4.9,11.4,42.98245614035088,1.6,4.3,37.2093023255814,3.3,7.1,46.478873239436616,50.0,1.8,2.3,78.26086956521739,53.57718337093136,14.814814814814811,1.4,2.7,4.1,1.6,1.0,0.3,1.3,1.8,13.3,6MOY-3,2001-02,1,0,0,0,0,1,1
Bobby Jackson,28.0,SAC,81.0,3.0,21.6,4.1,9.3,44.08602150537634,1.0,2.7,37.03703703703704,3.1,6.6,46.96969696969697,49.46236559139784,1.8,2.3,78.26086956521739,53.82079131109386,12.839506172839505,1.0,2.1,3.1,2.0,0.9,0.1,1.1,1.8,11.1,6MOY-2,2001-02,1,0,0,1,0,0,1
Bobby Jackson,29.0,SAC,59.0,26.0,28.4,5.8,12.4,46.774193548387096,1.5,4.0,37.5,4.3,8.4,51.19047619047619,52.82258064516129,2.1,2.5,84.00000000000001,56.29629629629629,24.57627118644068,1.0,2.7,3.7,3.1,1.2,0.1,1.8,2.1,15.2,6MOY-1,2002-03,1,0,0,1,0,0,1
Michael Redd,23.0,MIL,82.0,14.0,28.2,5.5,11.8,46.61016949152542,2.2,5.1,43.1372549019608,3.3,6.8,48.52941176470589,55.932203389830505,1.8,2.3,78.26086956521739,58.92912894161723,17.92682926829268,1.2,3.3,4.5,1.4,1.2,0.2,0.9,1.7,15.1,6MOY-2,2002-03,1,0,0,0,0,1,1
